TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
24288,"The travels and researches of Alexander von Humboldt : being a condensed narrative of his journeys in the equinoctial regions of America, and in Asiatic Russia; together with analyses of his more important investigations","Humboldt, Alexander von, 1769-1859",University of Toronto - Robarts Library,,1833,,"New York,J. [and] J. Harper,1833.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/24288
24288,"The travels and researches of Alexander von Humboldt : being a condensed narrative of his journeys in the equinoctial regions of America, and in Asiatic Russia; together with analyses of his more important investigations","MacGillivray, William 1796-1852",University of Toronto - Robarts Library,,1833,,"New York,J. [and] J. Harper,1833.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/24288
24431,Rubber planting in Mexico and Central America,"Olsson-Seffer, Pehr Hjalmar, 1873-1911",University of California Libraries (archive.org),,1907,,"Singapore :Kelly & Walsh, Ltd., printers,1907.",Singapore ,1.3520830,103.8198360,ENG,Central America,https://www.biodiversitylibrary.org/bibliography/24431
24935,Doctrinas y descubrimientos,"Ameghino, Florentino, 1853-1911",University of Toronto - Gerstein Science Information Centre,,1923,,"Buenos Aires :La Cultura argentina,1923.","Buenos Aires, Argentina",-34.6037220,-58.3815920,SPA,South America,https://www.biodiversitylibrary.org/bibliography/24935
24935,Doctrinas y descubrimientos,"Torcelli, Alfredo J.",University of Toronto - Gerstein Science Information Centre,,1923,,"Buenos Aires :La Cultura argentina,1923.","Buenos Aires, Argentina",-34.6037220,-58.3815920,SPA,South America,https://www.biodiversitylibrary.org/bibliography/24935
24967,Notes of a naturalist in South America.,"Ball, John, 1818-1889",University of California Libraries (archive.org),,1887,,"Kegan Paul,1887.",England,51.5001524,-0.1262362,ENG,South America,https://www.biodiversitylibrary.org/bibliography/24967
25011,"Journal of researches into the natural history and geology of the countries visited during the voyage of H.M.S. Beagle round the world : under the command of Capt. Fitz Roy, R.N.","Darwin, Charles, 1809-1882",University of Pittsburgh Library System (archive.org),,1846,,"New York :Harper & Brothers,1846.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25011
25011,"Journal of researches into the natural history and geology of the countries visited during the voyage of H.M.S. Beagle round the world : under the command of Capt. Fitz Roy, R.N.","Darwin, Charles, 1809-1882",University of Pittsburgh Library System (archive.org),,1846,,"New York :Harper & Brothers,1846.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25011
25164,Plantae Selerianae : Die von Dr. Eduard Seler und Frau Caecilie in Mexico und Centralamerica gesammelten Pflanzen,"Seler-Sachs, Caecilie, 1855-1935",University of Connecticut Libraries (archive.org),,1899,,"Genève :Imprimerie Romet,1899.","Geneva, Switzerland",46.2038106,6.1399651,GER,Central America,https://www.biodiversitylibrary.org/bibliography/25164
25164,Plantae Selerianae : Die von Dr. Eduard Seler und Frau Caecilie in Mexico und Centralamerica gesammelten Pflanzen,"Loesener, Th. (Theodor), 1865-1941",University of Connecticut Libraries (archive.org),,1899,,"Genève :Imprimerie Romet,1899.","Geneva, Switzerland",46.2038106,6.1399651,GER,Central America,https://www.biodiversitylibrary.org/bibliography/25164
