Title,Author,Year,Place of publication,Language,Volume,Page
The uses of plants : a manual of economic botany with special reference to vegetable products introduced during the last fifty years / by G. S. Boulger.   ,"Boulger, George Simonds,      1853 -1922",1889,London,English,,Page 58
"The vegetable kingdom, or, The structure, classification, and uses of plants illustrated upon the natural system  ","Lindley, John,      1799 -1865",1847,London,English,,Page 399
"The vegetable kingdom : or, The structure, classification, and uses of plants, illustrated upon the natural system  ","Lindley, John,      1799 -1865",1846,London,English,,Page 740
"The vegetable kingdom; or, The structure, classification, and uses of plants  ","Lindley, John,      1799 -1865",1853,London,English,,Page 399
The vegetable proteins.    ,"Osborne, Thomas B.     (Thomas Burr), 1859 -1929",1909,London,English,,Page 78
The vegetable proteins  ,"Osborne, Thomas B.     (Thomas Burr), 1859 -1929",1909,London,English,,Page 78
"Views of nature, or, Contemplations on the sublime phenomena of creation : with scientific illustrations  ","Humboldt, Alexander von,      1769 -1859",1850,London,English,,Page 158
"Views of nature: or, Contemplations on the sublime phenomena of creation  ","Humboldt, Alexander von,      1769 -1859",1884,London,English,,Page 158
"Views of nature, or, Contemplations on the sublime phenomena of creation, with scientific illustrations  ","Humboldt, Alexander von,      1769 -1859",1850,London,English,,Page 158
A voyage up the River Amazon : including a residence at ParÃ¡  ,"Edwards, William H.     (William Henry), 1822 -1909",1847,London,English,,Page 55
The western world. Picturesque sketches of nature and natural history in North and South America.  ,"Kingston, William Henry Giles,      1814 -1880",1874,London,English,,
The Zoologist : a monthly journal of natural history.  ,,1847,London,English,v.5 (1847),Page 1869
Bulletin de la SociÃ©tÃ© linnÃ©enne de Normandie.  ,SociÃ©tÃ© linnÃ©enne de Normandie.       ,1917,Lons-le-Saunier,French,"ser. 6, v. 10 (1917)",Page 75
Bulletin  ,Southern California Academy of Sciences.       ,2016,Los Angeles,English,v.115:no.3 (2016:Dec.),Page 155
Mitteilungen der Geographischen Gesellschaft und des Naturhistorischen Museums in LÃ¼beck.  ,Geographische Gesellschaft in LÃ¼beck       ,1890,Lübeck,German,2. Reihe:Heft 10-16 (1896-1902),Page 124
Lunds universitets Ã¥rsskrift. 2. Afd. Medicin samt matematiska och naturvetenskapliga Ã¤mmen.,Lunds universitet.       ,1916,Lund,Swedish,v.12 (1916),Page 20
Annales de la SocieÌteÌ botanique de Lyon.  ,SocieÌteÌ botanique de Lyon.       ,1905,Lyon,French,Tome 30 (1905),Page XXV
L'Echange : organe des Naturalistes de la rÃ©gion lyonnaise.  ,Naturalistes de la rÃ©gion lyonnaise (Society)       ,1896,Lyon,French,annÃ©e 11-13 (1895-1897),Page 28
"BotÃ¡nica descriptiva. Compendio de la flora espaÃ±ola. Estudio de las plantas que viven espontÃ¡neamente en EspaÃ±a y de las mÃ¡s frecuentemente cultivadas que tienen aplicaciones en medicina, agricultura, industria y horticultura  ","LÃ¡zaro Ã© Ibiza, Blas,      1858 -1921",1920,Madrid,Spanish,t.3,Page 194
"Diccionario de los diversos nombres vulgares de muchas plantas usuales Ã³ notables del antiguo y nuevo mundo, con la correspondencia cientÃ­fica y la indicacion abreviada de los usos Ã© igualmente de la familia Ã  que pertenece cada planta. Complemento del Curso de botÃ¡nica por el doctor don Miguel Colmeiro.  ","Colmeiro, Miguel,      1816 -1901",1871,Madrid,Spanish,,Page 132
"Fruits and fruit-trees, home and foreign. An index to the kinds valued in Britain, with descriptions, histories, and other particulars.  ","Grindon, Leo H.     (Leo Hartley), 1818 -1904",1885,Manchester,English,,Page 274
"The Australasian fruit culturist, containing full and complete information as to the history, traditions, uses, propagation and culture of such fruits as are suitable to Victoria, New South Wales, South Australia, Queensland, Western Australia, Tasmania and New Zealand ...  ","Crichton, David Alexander.       ",1893,Melbourne,English,,Page 225
Select extra-tropical plants readily eligible for industrial culture or naturalisation with indications of their native countries and some of their uses  ,"Mueller, Ferdinand von,      1825 -1896",1891,Melbourne,English,,Page 68
Malpighia :rassegna mensuale di botanica.  ,"Penzig, O.     (Otto), 1856 -1929",1893,Messina,Italian,v.7 (1893),Page 142
Madera y bosques  ,"Instituto de EcologÃ­a, A C.       ",2011,Mexico,Spanish,v.17:no.1 (2011),Page 68
"Dizionario di botanica generale, istologia, anatomia, morfologia, fisiologia, biologia vegetale  ","Bilancioni, Guglielmo,      1881 -1935",1903,Milan,Italian,,Page 105
Volksbenennungen der brasilianischen pflanzen und Produkte derselben : in brasilianischer (portugiesischer) und von der Tupisprache adoptirten Namen  ,"Peckolt, Theodor,      1822 -1912",1907,Milwaukee,German,,Page 34
"Elementos de botÃ¡nica, conformes al proggrama de la Universidad Mayor de la RepÃºblica entresacados de Payer, Sachs, Van Tieghem, Lanessan. 2. ed. corr. y aumentada por varios amantes de la ciencia, bajo la direcciÃ³n del recopilador.   ","LeÃ³n, Jacinto de,       ",1884,Montevideo,Spanish,3,Page 982
"Catalogue of the economic products of the Presidency of Bombay : being a catalogue of the Government Central Museum, Division 1., Raw produce (vegetable)  ","Birdwood, George C. M.     (George Christopher Molesworth), 1832 -1917",1862,Mumbai,English,,Page 154
The journal of the Bombay Natural History Society.  ,Bombay Natural History Society.       ,1915,Mumbai,English,v.24 (1915-1917),Page 272
"Flora Brasiliensis, enumeratio plantarum in Brasilia hactenus detectarum :quas suis aliorumque botanicorum studiis descriptas et methodo naturali digestas partim icone illustratas  ","Martius, Karl Friedrich Philipp von,      1794 -1868",1840-1906,Munich,Latin,"v.1,pt.1",Page LXVII
Die Pflanzen und Thiere des tropischen America : ein NaturgemÃ¤lde  ,"Martius, Karl Friedrich Philipp von,      1794 -1868",1831,Munich,German,,Page 20
Spixiana.  Supplement.,Zoologische Staatssammlung MÃ¼nchen.       ,1978,Munich,German,no. 9-11 (1983-85),Page 215
Natur und Offenbarung.  ,Vermittlung Zwischen Naturforschung und Glauben.       ,1898,Münster,German,Bd.18 (1898),
Archivio zoologico italiano : pubblicato sotto gli auspicii della unione zoologica.  ,Unione zoologica italiana.       ,1912,Naples,Italian,v. 6 (1912),Page 217
The American journal of science and arts.  ,"Silliman, Benjamin,      1779 -1864",1853,New Haven,English,ser.2:v.15=no.43-45 (1853),Page 100
Alexander v. Humboldt's Ansichten der Natur.   ,"Humboldt, Alexander von,      1769 -1859",1859,New York,German,c.1,Page 170
The Andes and the Amazon : or across the continent of South America  ,"Orton, James,      1830 -1877",1876,New York,English,,Page 290
"The Andes and the Amazon : or, Across the continent of South America  ","Orton, James,      1830 -1877",1870,New York,English,,Page 290
"Applied and economic botany for students in technical and agricultural schools, pharmaceutical and medical colleges, for chemists, food analysts and for the those engaged in the morphological and physiological study of plants.   ","Kraemer, Henry,      1868 -1924",1916,New York,English,,Page 194
"Applied and economic botany for students in technical and agricultural schools, pharmaceutical and medical colleges, for chemists, food analysts and for those engaged in the morphological and physiological study of plants  ","Kraemer, Henry,      1868 -1924",1916,New York,English,,Page 194
"Botanical microtechnique, a hand-book of methods for the preparation, standing, and microscopical investigation of vegetable structures  ","Zimmermann, A.     (Albrecht), 1860 -1931",1893,New York,English,,Page 74
Botany.    ,"Bessey, Charles E.     (Charles Edwin), 1845 -1915",1889,New York,English,,Page 523
Botany for high schools and colleges.   ,"Bessey, Charles E.     (Charles Edwin), 1845 -1915",1885,New York,English,,
Botany for high schools and colleges  ,"Bessey, Charles E.     (Charles Edwin), 1845 -1915",1905,New York,English,,Page 58
Bulletin of the Torrey Botanical Club.  ,Torrey Botanical Club.       ,1889,New York,English,v.16 (1889),Page 180
"The nut culturist : a treatise on the propagation, planting and cultivation of nut-bearing trees and shrubs, adapted to the climate of the United States ...  ","Fuller, Andrew S.     (Andrew Samuel), 1828 -1896",1896,New York,English,,
Catalogue of the products of the Brazilian forests at the International exhibition in Philadelphia  ,"Saldanha da Gama, JoseÌ de,      1839 -1905",1876,New York,English,,Page 6
The Century dictionary : an encyclopedic lexicon of the English language: prepared under the superintendence of William Dwight Whitney.  ,"Whitney, William Dwight,      1827 -1894",1889,New York,English,pt.3(Bic-Car),Page 667
"Cyclopedia of American horticulture, comprising suggestions for cultivation of horticultural plants, descriptions of the species of fruits, vegetables, flowers and ornamental plants sold in the United States and Canada, together with geographical and biographical sketches  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1909,New York,English,1,Page 156
"Cyclopedia of American horticulture, comprising suggestions for cultivation of horticultural plants, descriptions of the species of fruits, vegetables, flowers, and ornamental plants sold in the United States and Canada, together with geographical and biographical sketches  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1900,New York,English,v.1,Page 156
"Cyclopedia of American horticulture, comprising suggestions for cultivation of horticultural plants, descriptions of the species of fruits, vegetables, flowers and ornamental plants sold in the United States and Canada, together with geographical and biographical sketches, and a synopsis of the vegetable kingdom  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1906,New York,English,v.1,Page 156
"Four new species of â€œhooded tick-spidersâ€ (Ricinulei, Ricinoididae) from South and Central America : with clarification of the identity of Cryptocellus leleupi Cooreman, 1976  ","Prendini, Lorenzo.       ",2021,New York,English,no. 3976,Page 11
The Garden magazine.  ,,1920,New York,English,v.31-32 (1920-1921),Page 194
Gray's Botanical text-book.    ,"Gray, Asa,      1810 -1888",1879,New York,English,2,Page 183
Gray's Botanical text-book    ,"Gray, Asa,      1810 -1888",1879,New York,English,2,Page 183
Guide to the Economic Museum of the New York Botanical Garden.   ,"Rusby, Henry Hurd,      1855 -1940",1921,New York,English,,Page 195
Handbook of plants.     ,"Henderson, Peter,      1822 -1890",1881,New York,English,,Page 26
Henderson's Handbook of plants and general horticulture.   ,"Henderson, Peter,      1822 -1890",1890,New York,English,,
Henderson's Handbook of plants and general horticulture  ,"Henderson, Peter,      1822 -1890",1910,New York,English,,Page 277
Henderson's Handbook of plants and general horticulture.  ,"Henderson, Peter,      1822 -1890",1910,New York,English,,Page 277
"Iconographic encyclopaedia of science, literature, and art.   ","Baird, Spencer Fullerton,      1823 -1887",1851,New York,English,v. 2,Page 158
"Iconographic encyclopaedia of science, literature, and art  ","Baird, Spencer Fullerton,      1823 -1887",1851,New York,English,v.2 (1851) [Text],Page 158
An illustrated dictionary of scientific terms.    ,"Rossiter, William,       1897",1878,New York,English,,Page 59
An introduction to cytology  ,"Sharp, Lester W.     (Lester Whyland), 1887 -",1921,New York,English,,Page 134
"An introduction to cytology,  by Lester W. Sharp ...  ","Sharp, Lester W.     (Lester Whyland), 1887 -",1921,New York,English,,Page 134
"An introduction to the natural system of botany: or, A systematic view of the organization, natural affinities, and geographical distribution of the whole vegetable kingdom; together with the uses of the most important species in medicine, the arts, and rural or domestic economy.  ","Lindley, John,      1799 -1865",1831,New York,English,,Page 44
"Life and nature under the tropics: or, Sketches of travels among the Andes, and on the Orinoco, Rio Negro, and Amazons  ","Myers, H. M.     (Henry Morris),  1872",1871,New York,English,,Page 183
"The lipids, their chemistry and biochemistry.   ","Deuel, Harry James,      1897 -1956",1951,New York,English,1,Page 896
Memoir on the physical and political geography of New Granada.   ,"Dwight, Theodore,      1796 -1866",1853,New York,English,,Page 100
Natural history.  ,American Museum of Natural History.       ,1919,New York,English,94,Page 78
"The natural history of plants, their forms, growth, reproduction, and distribution: from the German of Anton Kerner von Marilaun ...  Tr. and ed. by F.W. Oliver ... with the assistance of Marian Busk ... and Mary F. Ewart ...  With about 2000 original woodcut illustrations and sixteen plates in colours.  ","Kerner von Marilaun, Anton,      1831 -1898",1895,New York,English,2 pt 2,Page 782
"The natural history of plants, their forms, growth, reproduction, and distribution: from the German of Anton Kerner von Marilaun.  ","Kerner von Marilaun, Anton,      1831 -1898",1895,New York,English,2,Page 782
An outline of plant geography  ,,1926,New York,English,,Page 274
Physiological botany; I. Outlines of the histology of phaenogamous plants; II. Vegetable physiology.   ,"Goodale, George L.     (George Lincoln), 1839 -1923",1885,New York,English,,Page 183
Physiological botany; I. Outlines of the histology of phÃ¦nogamous plants.  II. Vegetable physiology  ,"Goodale, George L.     (George Lincoln), 1839 -1923",1885,New York,English,,
Plants and their uses; an introduction to botany  ,"Sargent, Frederick Leroy,      1863 -1928",1913,New York,English,,
Popular botany; the living plant from seed to fruit  ,"Step, Edward,      1855 -1931",1913,New York,English,2,Page 480
A practical flora for schools and colleges  ,"Willis, Oliver R.     (Oliver Rivington), 1815 -1902",1894,New York,English,,Page 137
"Practical forestry for beginners in forestry, agricultural students, woodland owners, and others desiring a general knowledge of the nature of the art  ","Gifford, John C.     (John Clayton), 1870 -1949",1902,New York,English,,Page 276
"Practical forestry for beginners in forestry, agricultural students, woodland owners, and others desiring a general knowledge of the nature of the art.    ","Gifford, John Clayton,      1870 -",1902,New York,English,,Page 276
"The principles of fruit-growing, with applications to practice.   ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1915,New York,English,,
"The principles of fruit-growing, with applications to practice  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1915,New York,English,,Page 6
The principles of pharmacognosy :an introduction to the study of the crude substances of the vegetable kingdom  ,"FluÌˆckiger, Friedrich A.     (Friedrich August), 1828 -1894",1887,New York,,,Page 97
"Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 2 A review of the Coendou vestitus group with a description of two new species from Amazonia","Silva, Maria Nazareth F. da       ",2001,New York,English,no. 3351,Page 30
Rural New Yorker.  ,"Moore, D. D. T.       ",1872,New York,English,25-26 (1872),III
"Scientific and applied pharmacognosy, intended for the use of students in pharmacy, as a hand book for pharmacists, and as a reference book for food and drug analysts and pharmacologists.   ","Kraemer, Henry,      1868 -1924",1920,New York,English,,Page 470
"The standard cyclopedia of horticulture; a discussion, for the amateur, and the professional and commercial grower, of the kinds, characteristics and methods of cultivation of the species of plants grown in the regions of the United States and Canada for ornament, for fancy, for fruit and for vegetables; with keys to the natural families and genera, descriptions of the horticultural capabilities of the states and provinces and dependent islands, and sketches of eminent horticulturists.  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1919,New York,English,1,Page 59
"The standard cyclopedia of horticulture; a discussion, for the amateur, and the professional and commercial grower, of the kinds, characteristics and methods of cultivation of the species of plants grown in the regions of the United States and Canada for ornament, for fancy, for fruit and for vegetables; with keys to the natural families and genera, descriptions of the horticultural capabilities of the states and provinces and dependent islands, and sketches of eminent horticulturists  ","Bailey, L. H.     (Liberty Hyde), 1858 -1954",1916,New York,English,v.4,Page 2300
Travels on the Amazon.   ,"Wallace, Alfred Russel,      1823 -1913",1889,New York,English,,Page 304
"Tropical agriculture; the climate, soils, cultural methods, crops, live stock, commercial importance and opportunities of the tropics  ","Wilcox, Earley Vernon,      1869 -",1916,New York,English,,Page 139
"Tropical agriculture : the climate, soils, cultural methods, crops, live stock, commercial importance and opportunities of the tropics  ","Wilcox, Earley Vernon,      1869 -",1916,New York,English,,
A university text-book of botany.    ,,1910,New York,English,,Page 55
"Organologisches, systematisches und Arten-Register zu den Tafeln des Handbuch's der botanischen Terminologie  ","Bischoff, Gottlieb Wilhelm,      1797 -1854",1849,Nuremberg,German,,Page 12
Annual report of the Maine Agricultural Experiment Station.  ,Maine Agricultural Experiment Station.       ,1885,Orono,English,1899 (incl. Bull. 48-58),Page 73
The geography of plants  ,"Hardy, Marcel E.,      1876 -",1920,Oxford,English,,Page 321
Journal of the Royal Microscopical Society.  ,Royal Microscopical Society (Great Britain)       ,1901,Oxford,English,1901,Page 557
Lectures on the physiology of plants  ,"Sachs, Julius,      1832 -1897",1887,Oxford,English,,
"Organography of plants, especially of the archegoniatae and spermaphyta  ","Goebel, Karl,      1855 -1932",1900,Oxford,English,2,Page 259
Outlines of classification and special morphology of plants.  ,"Garnsey, Henry E. F.      1826 -1903",1887,Oxford,English,,Page 447
Outlines of classification and special morphology of plants  ,"Balfour, Isaac Bayley,      1853 -1922",1887,Oxford,English,,Page 447
"Oxford gardens, based upon Daubeny's Popular guide to the physick garden of Oxford: with notes on the gardens of the colleges and on the University park  ","Gunther, R. T.     (Robert Theodore), 1869 -1940",1912,Oxford,English,,Page 68
Sylloge fungorum omnium hucusque cognitorum.  ,"Saccardo, P. A.     (Pier Andrea), 1845 -1920",1898,Padua,Latin,12:2 fasc. 1 (1898),Page 178
Arboretum Amazonicum : iconographia dos mais importantes vegetaes espontaneos e cultivados da regiÃ£o amazonica. 1.-5. decada  ,"Huber, J.     (Jacques), 1867 -1914",1906,Pará,Portugese,pt.3 (1906),
Arboretum amazonicum iconographia dos mais importantes vegetaes espontaneos e cultivados da regiao amazonica  ,"Huber, Jacques       ",1906,Pará,Multiple,,Page 34
Boletim do Museu Goeldi (Museu Paraense) de Historia Natural e Ethnographia.  ,Museu Goeldi.       ,1906,Pará,Portugese,t.4:fasc.1-4 (1906),
PublicaÃ§Ãµes  ComissÃ£o de linhas telegraficas estratÃ©gicas de Mato Grosso ao Amazonas,,1912,Rio de Janeiro,Portugese,"n. 1, 1912",Page 181
Os insectas damninhos na agricultura  ,"Bondar, GregÃ³rio Gregorievitch,      1881 -1959",1913,São Paulo,Portugese,,Page 5
Annales des sciences naturelles.  Botanique,,1839,Paris,French,ser.2:t.12 (1839),Page 225
Botanique : organographie et taxonomie  ,"Le Maout, Emm.     (Emmanuel), 1799 -1877",1855,Paris,French,,Page 263
Bulletin de la SociÃ©tÃ© botanique de France.  ,Centre national de la recherche scientifique (France)       ,1855,Paris,French,v.2 (1855),Page 133
Bulletin de la SociÃ©tÃ© d'acclimatation  ,SocieÌteÌ d'acclimatation.       ,1871,Paris,French,ser.2:t.8 (1871),Page 509
Bulletin de la SociÃ©tÃ© impÃ©riale zoologique d'acclimatation  ,SociÃ©tÃ© impÃ©riale zoologique d'acclimatation       ,1861,Paris,French,t. 8 (1861),Page 565
Bulletin de la SociÃ©tÃ© nationale d'acclimatation de France.  ,SocieÌteÌ nationale d'acclimatation de France.       ,1908,Paris,French,v.55 (1908),Page 33
Bulletin du MuseÌum national d'histoire naturelle.  ,MusÃ©um national d'histoire naturelle (France)       ,1916,Paris,French,t.22 (1916),Page 355
Bulletin scientifique de la France et de la Belgique.  ,"Laboratoire d'eÌvolution des eÌ‚tres organiseÌs (Paris, France)       ",1890,Paris,French,t.21 (1890),Page 305
Compte Rendu de la Association FranÃ§aise pour l'Avancement des Sciences.  ,Association francÌ§aise pour l'avancement des sciences.       ,1872,Paris,French,ses. 31 pt. 1,Page 90
Comptes rendus hebdomadaires des sÃ©ances de l'AcadÃ©mie des sciences.  ,Centre national de la recherche scientifique (France)       ,1856,Paris,French,t.43 (1856),Page 291
Cryptogamie. Mycologie  ,"Laboratoire de cryptogamie, Paris       ",1990,Paris,Multiple,t.11 : no.2 (1990),p. 138
"Culture et exploitation du caoutchouc au BreÂ´sil : rapport preÂ´senteÂ´ a` M. le Ministre de l'Agriculture, Industrie et Commerce des EÂ´tats-Unis du BreÂ´sil  ","Cayla, V.       ",1913,Paris,French,,Page 49
Dictionnaire d'horticulture illustreÌ  ,"Bois, D.     (DÃ©sirÃ©), 1856 -1946",1893,Paris,French,,
Dictionnaire universel d'histoire naturelle.  ,"Orbigny, Charles Dessalines d',      1806 -1876",1867,Paris,French,v. 2 - Nouvelle Edition (Aphodie-Brownlowia),Page 612
"Dictionnaire universel d'histoire naturelle : rÃ©sumant et complÃ©tant tous les faits prÃ©sentÃ©s par les encyclopÃ©dies, les anciens dictionnaires scientifiques, les Oeuvres complÃ¨tes de Buffon, et les meilleurs traitÃ©s spÃ©ciaux sur les diverses branches des sciences nautrelles ; donnant la description des etres et des divers phÃ©nomÃ¨nes de la nature, l'Ã©tymologie et la dÃ©finition des noms scientifiques, et les principales applications des corps organiques et inorganiques Ã  l'agriculture, Ã  la mÃ©decine, aux arts industriels, etc.  ","Orbigny, Charles Dessalines d',      1806 -1876",1849,Paris,French,t.2 (1849) [Aphodie-Byzenus],Page 553
"EÌtudes topographiques, meÌdicales et agronomiques sur le BreÌsil   ","Rendu, Alphonse.       ",1848,Paris,French,,Page 196
"Ã‰lÃ©ments de botanique mÃ©dicale : contenant la description des vÃ©gÃ©taux utiles Ã  la mÃ©decine et des espÃ¨ces nuisibles Ã  l'homme, vÃ©nÃ©neuses ou parasites, prÃ©cÃ©dÃ©e de considÃ©rations sur l'organisation et la classification des vÃ©gÃ©taux  ","Moquin-Tandon, Alfred,      1804 -1863",1866,Paris,French,,Page 499
Flore forestiÃ¨re du globe  ,"Chancerel, Lucien,      1858 -",1920,Paris,French,,Page 297
Histoire des plantes  ,"Baillon, H.     (Henri), 1827 -1895",1877,Paris,,v. 6,Page 328
Histoire naturelle des drogues simples : ou Cours d'histoire naturelle professÃ© a l'Ã‰cole supÃ©rieure de pharmacie de Paris  ,"Guibourt, N.-J.-B.-G.     (Nicolas Jean Baptiste Gaston), 1790 -1867",1876,Paris,French,v.3,Page 269
Histoire naturelle illustrÃ©e: les plantes  ,"Faideau, Ferdinand,      1862 -1930?",1922,Paris,French,,Page 268
"Journal d'agriculture tropicale: agricole, scientifique et commercial.  ","Vilbouchevitch, J.       1866 -1907",1906,Paris,French,6 (1906),Page XV
Manuel d'histoire naturelle mÃ©dicale  ,Royal College of Physicians of Edinburgh.       ,1871,Paris,French,,Page 524
MeÂ´moires  ,SocieÌteÌ botanique de France.       ,1905,Paris,French,no.1-7 (1905-1907) [no.1 incomplete],Page 239
MÃ©moires du MusÃ©um d'histoire naturelle.  ,MusÃ©um national d'histoire naturelle (France)       ,1825,Paris,French,t. 13 (1825),Page 148
MÃ©moires du MusÃ©um national d'histoire naturelle SÃ©rie A Zoologie,MusÃ©um national d'histoire naturelle (France)       ,1986,Paris,French,t.132:no.1 (1984),p. 19
Le microscope son emploi et ses applications ...  ,"Pelletan, J.       ",1876,Paris,French,,Page 347
Le Naturaliste : journal des Ã©changes et des nouvelles  ,"Deyrolle, Ã‰mile,      1838 -1917",1885,Paris,French,v.7 (1885)-v.9 (1887),Page 55
"Nouveaux Ã©lÃ©ments d'histoire naturelle mÃ©dicale : comprenant des notions gÃ©nÃ©rales sur la zoologie, la botanique et la minÃ©ralogie, l'histoire et les propriÃ©tÃ©s des animaux et des vÃ©gÃ©taux utiles ou nuisibles Ã  l'homme, soit par eux-mÃªmes, soit par leurs produits  ",Royal College of Physicians of Edinburgh.       ,1869,Paris,French,,Page 422
"Nouveaux Ã©lÃ©ments d'histoire naturelle mÃ©dicale : comprenant des notions gÃ©nÃ©rales sur la zoologie, la botanique et la minÃ©ralogie, l'histoire et les propriÃ©tÃ©s des animaux et des vÃ©gÃ©taux utiles ou nuisibles Ã  l'homme, soit par eux-mÃªmes, soit par l  ","Cauvet, D.     (DeÌsireÌ), 1827 -1890",1869,Paris,French,t.2 (1869),Page 708
"Nouveaux Ã©lÃ©ments d'histoire naturelle mÃ©dicale : comprenant des notions gÃ©nÃ©rales sur la minÃ©ralogie, la zoologie et la botanique, l'histoire et les propriÃ©tÃ©s des animaux et des vÃ©gÃ©taux utiles ou nuisibles Ã  l'homme, soit par eux-mÃ¨mes, soit par leurs produits  ","Cauvet, D.     (DeÌsireÌ), 1827 -1890",1877,Paris,French,t.2 (1877),Page 494
"Le pays des Amazones : l'El-Dorado, les terres Ã  caoutchouc  ","Santa-Anna Nery, Frederico JosÃ© de,      1849 -1902",1899,Paris,Portugese,,Page 27
"Plantes eÌquinoxiales recueillies au Mexique : dans l'iÌ‚le de Cuba, dans les provinces de Caracas, de Cumana et de Barcelone, aux Andes de la Nouvelle Grenade, de Quito et du PeÌrou, et sur les bords du rio-Negro de OreÌnoque et de la rivieÌ€re des Amazones.  ","Humboldt, Alexander von,      1769 -1859",1808,Paris,French,vol. 1,Page 122
Les plantes  ,"Faideau, Ferdinand,      1862 -1930?",1922,Paris,French,,Page 268
"Prodromus systematis naturalis regni vegetabilis, sive, Enumeratio contracta ordinum generum specierumque plantarum huc usque cognitarium, juxta methodi naturalis, normas digesta  ","Candolle, Augustin Pyramus de,      1778 -1841",1828,Paris,Latin,v.3 (1828),Page 293
La production animale et vÃ©gÃ©tale : Ã©tudes faites Ã  l'exposition universelle de 1867.  ,SocieÌteÌ nationale d'acclimatation de France.       ,1867,Paris,French,,
Revue geÌneÌrale de botanique.  ,,1900,Paris,French,v.12 (1900),Page 11
Revue gÃ©nÃ©rale des sciences pures et appliquÃ©es.  ,,1898,Paris,French,t. 9 (1898),Page 609
Revue horticole.  ,,1867,Paris,French,Anne 1867,Page 68
"Tableaux de la nature; ou, ConsidÃ©rations sur les dÃ©serts, sur le physionomie des vÃ©gÃ©taux, sur les cataractes de l'OrÃ©noque, sur la structure et l'action des volcans dans les diffÃ©rentes rÃ©gions de la terre, etc.  ","Humboldt, Alexander von,      1769 -1859",1828,Paris,French,1-Feb,Page 223
"Tableaux de la nature, ou ConsidÃ©rations sur les dÃ©serts, sur la physionomie des vÃ©gÃ©taux, et sur les cataractes de l'OrÃ©noque  ","Humboldt, Alexander von,      1769 -1859",1808,Paris,French,,Page 185
"TraiteÌ pratique de micrographie appliqueÌe aÌ€ la botanique, aÌ€ la zoologie, aÌ€ l'hygieÌ€ne et aux recherches cliniques  ","GeÌrard, ReneÌ Constant Joseph,      1853 -",1887,Paris,French,,Page 99
Teysmannia.  ,,1894,Passau,Dutch,pt.5 (1894),Page 354
Tropical agriculturist and magazine of the Ceylon Agricultural Society.  ,Ceylon Agricultural Society.       ,1882,Peradeniya,English,v.2 (1882-1883),Page 182
The Amazon and Madeira rivers; sketches and descriptions from the note-book of an explorer  ,"Keller, Franz,      1835 -1890",1875,Philadelphia,English,,Page 111
"Applied and economic botany, especially adapted for the use of students in technical schools, agricultural, pharmaceutical and medical colleges, and also as a book of reference for chemists, food analysts and students engaged in the morphological and physiological study of plants  ","Kraemer, Henry,      1868 -1924",1914,Philadelphia,English,,Page 197
"Aspects of nature, in different lands and different climates; with scientific elucidations.  ","Humboldt, Alexander von,      1769 -1859",1849,Philadelphia,English,,Page 173
Conversations on nature and art.    ,,1839,Philadelphia,English,,Page 306
A dictionary of modern gardening  ,"Johnson, George William,      1802 -1886",1847,Philadelphia,English,,Page 86
The Florist and horticultural journal  ,,1852,Philadelphia,English,v.1 (1852:May-1853:Apr.),Page 10
The Gardener's monthly and horticultural advertiser  ,,1874,Philadelphia,English,v.16 (1874),Page 151
Palladin's Plant physiology.   ,"Hopping, Aleita,      1890 -",1926,Philadelphia,English,3rd ed.,Page 161
Plant physiology  ,"Hopping, Aleita,      1890 -",1918,Philadelphia,English,,
Proceedings of the Academy of Natural Sciences of Philadelphia.  ,Academy of Natural Sciences of Philadelphia.       ,1854,Philadelphia,English,v.7 (1854-1855),Page vi
Proceedings of the American Philosophical Society held at Philadelphia for promoting useful knowledge.  ,American Philosophical Society.       ,1878,Philadelphia,English,v. 18 (1878-1880),Page 160
"Standard values in nutrition and metabolism, being the second fascicle of a handbook of biological data.  ","Albritton, Errett C.     (Errett Cyril), 1890 -",1954,Philadelphia,English,,Page 368
"A text-book of botany and pharmacognosy, intended for the use of students of pharmacy, as a reference book for pharmacists, and as a handbook for food and drug analysts.  ","Kraemer, Henry,      1868 -1924",1907,Philadelphia,English,,
"A text-book of botany and pharmacognosy : intended for the use of students of pharmacy, as a reference book for pharmacists, and a handbook for food and drug analysts  ","Kraemer, Henry,      1868 -1924",1910,Philadelphia,English,,Page 345
"The year-book of agriculture : or The annual of agricultural progress and discovery for 1855 and 1856. Exhibiting the most important discoveries and improvements in agricultural mechanics, agricultural chemistry, agricultural and horticultural botany, agricultural and economic geology, agricultural zoology, meteorology, &c. Together wth statistics of American growth and production, a list of recent agricultural publications, classified tables of American agricultural patents for 1854-55, a catalogue of fruits adapted to the different sections of the United States, &c. With a comprehensive review, by the author, of the progress of American and foreign agriculture for the year 1855. Illustratd with numerous engravings  ","Wells, David A.     (David Ames), 1828 -1898",1856,Philadelphia,English,,Page 251
