Title,Author,Year,Place of publication,Language,Volume,Page
Iconographia familiarum naturalium regni vegetabilis = Abbildungen der natÃ¼rlichen Familien des GewÃ¤chsreiches : delineata atque adiectis familiarum characteribus adnotationibusque variis tum scientiam tum usum spectantibus exornata  ,"Schnizlein, Adalbert,      1814 -1868",1843-1870,Bonn,Latin,v.1-4 (Text),
PflÃ¼gers Archiv fÃ¼r die gesamte Physiologie des Menschen und der Tiere.   ,,1916,Bonn,German,bd. 164 (1916),Page 250
Across unknown South America  ,"Landor, Arnold Henry Savage,      1865 -1924",1913,Boston,English,v.2 (1913),Page 415
Arnoldia  ,Arnold Arboretum.       ,1990,Boston,English,v.50 (1990),Page 20
"C. E. Hobbs Botanical hand-book of common local, English, botanical and pharmacopial names arranged in alphabetical order, of most of the crude vegetable drugs, etc., in common use. Especially designed as a reference book for druggists and apothecaries.  ","Hobbs, Charles E.       ",1876,Boston,English,,Page 150
"C.E. Hobb's botanical hand-book of common local, English, botanical and pharmacopoeial names arranged in alphabetical order, of most of the crude vegetable drugs, etc., in common use : especially designed as a reference book for druggists and apothecaries  ","Hobbs, Charles E.       ",1876,Boston,English,,
"History of vegetable substances used in the arts, in domestic economy, and for the food of man.    ",,1833,Boston,English,1,Page 397
"The Magazine of horticulture, botany, and all useful discoveries and improvements in rural affairs.  ",,1860,Boston,English,v.26 1860,
"A pictorial geography of the world : comprising a system of universal geography, popular and scientific ... : with a copious index, answering the purpose of a gazetteer  ","Goodrich, Samuel G.     (Samuel Griswold), 1793 -1860",1849,Boston,English,v.1 (1849),Page 482
Naturwissenschaftliche Rundschau : wÃ¶chentliche Berichte Ã¼ber die Fortschritte auf dem Gesammtgebiete der Naturwissenschaften.   ,,1891,Braunschweig,German,Jahrg. 6 (1891),Page 208
Agricultural news.    ,Great Britain.  Imperial Dept. of Agriculture for the West Indies.     ,1912,Bridgetown,English,"11, 1912",Page 287
Proceedings of the Bristol Naturalists' Society.  ,"Bristol Naturalists' Society (Bristol, England)       ",1944,Bristol,English,v.27 (1944-1948),Page 196
Brooklyn Botanic Garden record.  ,Brooklyn Botanic Garden.       ,1926,Brooklyn,English,v.15 (1926),Page 9
Leaflets.  ,Brooklyn Botanic Garden.       ,1922,Brooklyn,English,ser.10 (1922),
Plants & gardens.  ,Brooklyn Botanic Garden.       ,1974,Brooklyn,English,v.30 (1974-1975),Page 55
Bulletin de la SociÃ©tÃ© royale de botanique de Belgique.  ,SociÃ©tÃ© royale de botanique de Belgique.       ,1894,Brussels,French,t. 33 (1894),Page 167
"Catalogue des plantes exotiques, nouvelles et rares, cultiveÌes dans les serres de J. Linden ... prix courant pour le printemps, l'eÌteÌ et l'automne de 1857.  ","Linden, Jean Jules,      1817 -1898",1857,Brussels,French,no.12 (1857),Page 19
CongreÌ€s international d'entomologie : [proceedings].  ,,2000,Brussels,English,21st Abstracts v.1 (2000),Page 125
Journal d'horticulture pratique de la Belgique : ou guide des amateurs et jardiniers.  ,,1861,Brussels,French,new ser.:5th (1861:Jun.),
Journal d'horticulture pratique : ou guide des amateurs et jardiniers.  ,,1847,Brussels,French,4th (1847),
Recueil de l'Institut botanique (UniversitÃ© de Bruxelles)    ,Institut botanique LÃ©o Errera.       ,1902,Brussels,French,t.3 1908,Page 265
"Botanical Museum leaflets, Harvard University  ",Harvard University.  Botanical Museum.     ,1974-1976,Cambridge,English,v. 24 1974-76,Page 114
The Bradley bibliography; a guide to the literature of the woody plants of the world published before the beginning of the twentieth century  ,"Sargent, Charles Sprague,      1841 -1927",1911,Cambridge,English,v.2,Page 611
A dictionary of the flowering plants and ferns  ,"Willis, J. C.     (John Christopher), 1868 -1958",1919,Cambridge,English,,Page 93
Farlowia :a journal of cryptogamic botany  ,,1943,Cambridge,English,v. 1 1943-44,Page 65
Practical plant biochemistry.    ,"Onslow, Muriel Wheldale      1880 -1932",1923,Cambridge,English,,Page 91
Practical plant biochemistry  ,"Onslow, Muriel Wheldale      1880 -1932",1920,Cambridge,English,,Page 125
Psyche.  ,Cambridge Entomological Club.       ,2012,Cambridge,English,2012:pt.4,
Rhodora  ,"Robinson, Benjamin Lincoln,      1864 -1935",1968,Cambridge,,v.70 (1968),Page 135
Nuts for profit. A treatise on the propagation and cultivation of nut-bearing trees adapted to successful culture in the United States  ,"Parry, John R.       ",1897,Camden,English,,Page 29
"Las familias mas importantes del reino vegetal, especialmente las que son de interes en la medicina, la agricultura e industria, o que estan representadas en la flora de Venezuela. ResuÌmen del curso de botaÌnica sistemaÌtica, leido en la ilustre Universidad central  ","Ernst, Adolfo,      1832 -1899",1881,Caracas,Spanish,,Page 60
"A manual of poisonous plants : chiefly of eastern North America : with brief notes on economic and medicinal plants, and numerous illustrations  ","Pammel, L. H.     (Louis Hermann), 1862 -1931",1911,Cedar Rapids,English,,Page 638
"A manual of poisonous plants : chiefly of eastern North America, with brief notes on economic and medicinal plants, and numerous illustrations  ","Pammel, L. H.     (Louis Hermann), 1862 -1931",1911,Cedar Rapids,English,pt.2,Page 638
"A manual of poisonous plants, chiefly of eastern North America, with brief notes on economic and medicinal plants, and numerous illustrations  ","Pammel, L. H.     (Louis Hermann), 1862 -1931",1911,Cedar Rapids,English,pt.2 (1911),
"Proceedings of the Elliott Society of Natural History of Charleston, South-Carolina  ",Elliott Society of Natural History       ,1853,Charleston,English,v.1 (1853-1858),Page 274
The American naturalist.  ,American Society of Naturalists.       ,1901,Chicago,English,v.35=no.409-420 (1901),Page 694
Birds & nature magazine.     ,"Higley, William Kerr,      1860 -1908",1896,Chicago,English,IV,
