TitleID,Listed subjects
55557,Description and travel ; Roosevelt-Rondon Scientific Expedition ; Zoology ; Brazil ; Roosevelt River (Brazil) ; (1913-1914)
55632,São Paulo (State) ; Trees ; Brazil
55788,United States ; Description and travel ; Québec (Province) ; Zoology ; South America ; 1764-1850 ; Brazil
56496,Zoology ; Description and travel ; Roosevelt-Rondon Scientific Expedition (1913-1914) ; Roosevelt River (Brazil) ; Brazil
56670,Tropics ; Brazil ; Description and travel ; South America ; Natural history ; Indians of South America
57128,Brazil ; Rubber ; Rubber industry and trade ; Exhibitions
57302,Paleontology ; Paleobotany ; Brazil ; Mesosaurus ; Geology ; Coal ; Permian
57775,Insects ; Emancipation ; Natural history ; Slaves ; Meteorology ; Brazil ; Description and travel
58206,Amazon River Valley ; Brazil ; 19th century ; Natural history ; Travel literature ; Description and travel
58569,Description and travel ; Insects ; Brazil ; Meteorology ; Natural history
58649,Travel literature ; Brazil ; Natural history ; 19th century ; Description and travel ; Amazon River Valley
58705,Zoology ; Brazil ; Roosevelt-Rondon Scientific Expedition ; (1913-1914) ; Roosevelt River (Brazil) ; Description and travel
59705,"Shark Bay (W.A.) ; Buccaneers ; Ocean currents ; Campeche, Bay of (Mexico) ; Imprint 1717 ; Australia ; Voyages and travels ; Voyages around the world ; Natural history ; Salvador (Brazil) ; Discovery and exploration ; East Indies ; West Indies ; Tides ;"
59807,Mollusks ; Brazil ; Freshwater animals
60564,Natural history ; Brazil ; Description and travel ; Slavery
60688,Argentina ; Brazil ; Bats ; Eumops ; Free-tailed bats
60810,Brazil ; Ethnology ; Natural history
61493,Indians of South America ; 19th century ; History ; Lithographs ; Sources ; Bolivia ; South America ; Peru ; Brazil ; Description and travel ; France ; Scientific Expeditions ; Natural history ; Antiquities
61919,Brazil ; Botany ; Natural history ; Description and travel
61959,Imprint 1648 ; Indians of South America ; Natural history ; Brazil ; Pre-Linnean works ; Indian linguistics ; Mapuche language ; Tupi language
62143,"Materia medica, Vegetable ; Imprint 1809 ; Cinnamon ; Cinnamon tree ; Brazil"
62165,Brazil ; Castniidae ; Lepidoptera
62477,"Brazil ; Imprint 1759 ; Law ; Tobacco ; Portugal ; Law and legislation ; Officials and employees ; Salaries, etc"
62578,Crustacea ; Brazil
63181,Birds ; Description and travel ; Pictorial works ; Brazil
63182,Description and travel ; Brazil ; Birds ; Pictorial works
63798,Brazil ; Animals ; Zoology
63994,Graphic media : ; Hand-colored ; Austria ; Natural history ; Brazil ; 1820 ; Engraving
64325,Brazil ; Physiological effect ; Antivenins ; Poisonous snakes ; Venom
64331,Botany ; Brazil ; Scientific Expeditions
64393,Ethnology ; Natural history ; Periodicals ; Brazil
64563,Fruit-culture ; Brazil ; Tropical fruit ; Oranges
64575,Brazil ; Periodicals ; Ethnology ; Natural history
64872,Portugal ; Natural history ; Colonies ; Description and travel ; Silk industry ; Imprint 1783 ; Brazil ; Mines and mineral resources
66394,Forest products industry ; Forest surveys ; Forests and forestry ; Brazil
68943,Brazil ; Botany
69100,Archaeology ; Periodicals ; Botany ; Amazonas ; Brazil
69114,Periodicals ; Natural history ; Brazil ; Sociedade Vellosiana do Rio de Janeiro
69471,"Botany, Medical ; Medical geography ; Brazil ; Medicine ; Natural history ; Indians of South America"
69632,Commerce ; Foreign relations ; Portugal ; Brazil ; Indigo ; Tobacco ; Imprint 1800 ; Russia
69894,United States ; Guiana ; Zoology ; Pernambuco (Brazil) ; West Indies ; Guyana ; Taxidermy ; Description and travel
70277,"Pernambuco (Brazil) ; Taxidermy ; United States ; Antilles, Lesser ; Description and travel ; Guyana ; Zoology"
70380,Botany ; Brazil ; Plants ; Rio de Janeiro
78510,Plants ; Brazil ; Description and travel ; Medicine
78762,Brazil ; Peru ; Bolivia ; United States ; 1854 ; Old Book List ; Description and travel ; Washington ; Discovery and exploration ; Amazon River Valley
78763,Bolivia ; Description and travel ; Discovery and exploration ; United States ; Peru ; Amazon River Valley ; Brazil
79120,Plants ; Rio de Janiero Region ; Brazil
80970,Citrus fruits ; Fruit-culture ; Fruit trade ; Brazil
80975,Brazil ; Tobacco industry ; Tobacco
82157,Zoology ; Brazil ; Mammals
82217,Discovery and exploration ; Imprint 1707 ; Natural history ; Shark Bay (W.A.) ; Voyages and travels ; Australia ; Canary Islands ; Description and travel ; Salvador (Brazil) ; Buccaneers ; Cape Verde
82561,Birds ; Pictorial works ; Brazil
84570,Brazil ; Natural history ; Amazon River Valley ; Indians of South America
84572,Ticks ; Arachnida ; Brazil
84934,To 1822 ; History ; Brazil
85332,"1781-1826 ; Description and travel ; Social conditions ; Spix, Johann Baptist von, ; Mines and mineral resources ; Ethnic relations ; Travel ; 1794-1868 ; 19th century ; Brazil ; Indians of South America ; Martius, Karl Friedrich Philipp von,"
85522,Natural history ; Languages ; Brazil ; Indians of South America ; Amazon River Valley ; Amazon Valley ; Description and travel
85962,"Amazon River Valley ; Agassiz, Louis, ; 1822-1907 ; Brazil ; Agassiz, Elizabeth Cabot Cary, ; Geology ; Travel ; Description and travel ; 1807-1873"
85964,Brazil ; Description and travel ; Indians of South America
85967,Brazil ; Indians of South America ; Description and travel
86283,Description and travel ; Indians of South America ; Brazil
86300,"Rio de Janeiro (Brazil) ; Description and travel ; Brazil ; Glossaries, vocabularies, etc ; Tupi language"
86918,Description and travel ; Mines and mineral resources ; Brazil
86940,Mammals ; Deer ; Brazil
87028,Colonies ; Peru ; Chile ; Description and travel ; Latin America ; Early works to 1800 ; South America ; Brazil ; Spain ; Colombia
87038,"Taxidermy ; Antilles, Lesser ; Guyana ; Zoology ; Description and travel ; Pernambuco (Brazil) ; United States ; Guiana"
94522,Description and travel ; Indians of South America ; Bakairi language ; Gê languages ; Xingu River ; Brazil ; Scientific Expeditions ; Xingu River (Brazil)
95420,"Botany ; Serra Do Navio ; Field notes ; Brazil ; Veado, Serra do"
95441,Description and travel ; Brazil ; Indians of South America
95444,"Bahia ; Almas, Rio das ; Botany ; Brazil ; Field notes ; Rio de Contas ; Una"
95445,"Transamaznica, Rodovia ; Amazonas ; Field notes ; Botany ; Rio Pomba ; Brazil"
95446,Botany ; Field notes ; Una ; Bahia ; Brazil
95447,Botany ; Valle del Cauca ; Brazil ; Field notes ; Cundimarca
95448,Bahia ; Mucug ; Andara ; Field notes ; Botany ; Brazil ; Esplanada
95449,"Transamaznica, Rodovia ; Brazil ; Jaraqui, Igarap ; Amazonas ; Rio Negro ; Té ; Botany ; Mari, Rio ; Field notes"
