TitleID,Listed subjects
10824,South America ; Plants ; Lauraceae ; Cinnamomum ; North America
11067,Cuba ; Mollusks ; Central America
11333,Chile ; Colonies ; South America ; Colombia ; Peru ; Spain
11391,Oligochaeta ; South America ; Central America
11454,Fishes ; Orestias ; Gymnotidae ; South America
11798,Siluridae ; South America ; Fishes ; Characidae
11829,Fishes ; Central America
11831,South America ; Earthworms ; Anteus
11888,Freshwater mussels ; Unionidae ; South America
11916,Brewster-Sanford Expedition of the American Museum ; 59.82(26.6) ; Sea birds ; South America ; (1912-1917) ; Antarctica ; Birds
11953,Fishes ; South America ; Bibliography ; Central America
11964,South America ; Serpents
11972,South America ; Amphibians ; Classification
12969,Gymnotidae ; Fishes ; South America
13397,Birds ; South America
13419,Central America ; Birds ; West Indies ; Mexico
13535,"Amazon River Valley ; Brazil ; Portraits ; 1825-1892 ; Natural history ; Indians of South America ; Bates, Henry Walter,"
13686,South America ; Central America ; West Indies ; Description and travel
14172,Chrysomelidae ; South America ; Beetles
14216,"Mammals, Fossil ; Zoology ; (1831-1836) ; Beagle Expedition ; Birds ; Paleontology ; South America"
14373,Periodicals ; Natural history ; Latin America ; Chile
14917,Mexico ; South America ; Central America ; Birds
15467,Peperomia ; South America
15694,Central America ; Squirrels ; Mexico ; Mammals
15738,Brazil ; Mammals ; South America
15821,Mollusks ; South America.
16406,Economic conditions ; Ethnology ; Description and travel ; Brazil ; Mines and mineral resources ; Indians of South America
17162,Description and travel ; Indians of South America ; Natural history ; Amazon River Valley ; Brazil
17775,Early accounts to 1600 ; Discovery and exploration ; Colonies ; West Indies ; America ; Discoveries in geography ; Natural history ; Central America ; Spain ; Shipwrecks ; Indians
17873,Natural history ; Indians of Mexico ; Peru ; America ; Early accounts to 1600 ; Indians of South America ; Latin America
17908,Description and travel ; Amazon River Valley ; South America ; Andes ; Botany
17928,Botany ; South America ; Description and travel
18192,Nicaragua ; Hunting ; Central America ; Description and travel
18283,Science ; South America ; Description and travel ; Plant morphology ; Physical geography
18997,Cartography ; Casa de Contratación (Spain) ; Botany ; History ; Zoology ; America ; Spanish ; Discovery and exploration ; Latin America
19028,"South America ; 1480-1532? ; fl. 1533-1546 ; Ordaz, Diego de, ; El Dorado ; Ortal, Geronimo de, ; Description and travel ; Maps"
19118,Indians of Mexico ; Latin America ; Peru ; Natural history ; America ; Early accounts to 1600 ; Indians of South America
19332,Indians of South America ; Latin America ; Natural history ; Early accounts to 1600 ; Indians of Mexico ; America ; Early works to 1800 ; Peru
19750,Hunting ; Description and travel ; Pacific coast ; Latin America ; Reindeer (British steam sloop)
20768,Description and travel ; (1831-1836) ; South America ; Beagle Expedition ; Natural history
21434,Botany ; Classification ; Description and travel ; Indians of North America ; Southern States ; Spain ; America ; Plants ; South America ; Early works to 1800 ; Louisiana ; Mississippi River Valley ; Haiti
21755,Physical geography ; Description and travel ; Science ; Plant morphology ; South America
22092,North America ; Neuroptera ; South America
22342,(1831-1836) ; Natural history ; South America ; Beagle Expedition ; Description and travel ; Voyages around the world
22635,Mexico ; Siberia (Russia) ; South America ; Description and travel ; Scientific Expeditions
23548,Scientific Expeditions ; Description and travel ; Natural history ; South America
23593,Description and travel ; Voyages around the world ; Beagle Expedition ; Geology ; (1831-1836) ; South America ; Natural history
24288,Description and travel ; Scientific Expeditions ; South America ; Mexico
24431,Castilla ; Central America ; Rubber industry and trade ; Mexico
24935,Geology ; Prehistoric peoples ; Argentina ; Paleontology ; South America
24967,South America ; Botany ; Description and travel
25011,Description and travel ; 19th century ; (1831-1836) ; History ; Natural history ; South America ; Voyages around the world ; Beagle Expedition ; Geology
25164,Central America ; Mexico ; Botany
25244,South America ; Description and travel ; Scientific Expeditions
25258,Description and travel ; Latin America ; Natural history
25451,Natural history ; South America ; (1831-1836) ; Voyages around the world ; Beagle Expedition ; Description and travel
25533,Geology ; Paleontology ; Prehistoric peoples ; South America ; Argentina
25577,South America ; Geology ; Beagle Expedition ; (1831-1836) ; Description and travel ; Natural history ; Voyages around the world
26228,Voyages around the world ; Description and travel ; Beagle Expedition ; Geology ; Natural history ; (1831-1836) ; South America
26616,Indians of South America ; Amazon Valley ; Natural history ; Amazon River Valley ; Description and travel
26978,Oregon ; Discovery and exploration ; Description and travel ; Hawaii ; Antarctica ; United States Exploring Expedition ; (1838-1842) ; Oceania ; South America
27538,Description and travel ; (1831-1836) ; Voyages around the world ; Beagle Expedition ; South America ; Natural history
27646,Central America ; Birds ; South America ; Mexico
28264,Birds ; Venezuela ; Guyana ; South America ; Description and travel
28345,Voyages around the world ; Description and travel ; Beagle Expedition ; Geology ; Natural history ; (1831-1836) ; South America
28957,Amazon River Valley ; Indians of South America ; Brazil ; Natural history ; Languages ; Description and travel
29086,Description and travel ; Plant morphology ; South America ; Physical geography ; Science
29734,Natural history ; Scientific Expeditions ; Description and travel ; South America
30137,Classification ; South America ; Catfishes
30246,Description and travel ; Amazon River ; Ecuador ; South America ; Natural history ; Andes
30743,Agriculture ; Bolivia ; Indians of South America
32420,Brazil ; Mato Grosso (Brazil : State) ; Mato Grosso (State) ; Indians of South America ; Xingu River (Brazil) ; Description and travel ; Scientific Expeditions
33029,Scientific Expeditions ; South America ; Description and travel ; Mexico ; Natural history
33105,Indians of South America ; Paraguay ; Birds ; Natural history ; Description and travel
33139,Brazil ; Guyana ; Zoology ; South America ; Description and travel
33145,Nicaragua ; Hunting ; Central America ; Description and travel
34212,Natural history ; South America ; Description and travel
34262,(1831-1836) ; Guidebooks ; Natural history ; Voyages around the world ; South America ; Description and travel ; Beagle Expedition ; Geology
36031,Hunting ; South America ; Description and travel ; Pacific States
36463,Natural history ; Latin America ; Early accounts to 1600 ; Indians of Mexico ; America ; Indians of South America ; Peru
36485,Amazon River ; Indians of South America ; Brazil ; Amazonas (Brazil) ; Natural history ; Amazon River Valley
36897,"Farms ; Dissertations, Academic ; Agriculture ; Central America ; Land tenure ; Sociology thesis Ph. D ; Sociology ; UF"
37335,Amazon River Valley ; Natural history ; Indians of South America ; Brazil
38044,Oceania ; Zoology ; Voyages around the world ; Description and travel ; South America
38411,Hunting ; Latin America ; Pacific coast (United States and Canada) ; Pacific Coast (South America) ; Description and travel
38417,Pacific Coast (South America) ; Birds
38626,Pacific Coast (North America) ; Description and travel ; Latin America ; Scientific Expeditions ; Philippine Islands ; Voyages around the world
38627,Voyages around the world ; Pacific Coast (North America) ; Description and travel ; Philippine Islands ; Latin America ; Scientific Expeditions
38860,Natural history ; Central America ; North America ; Pictorial works
39143,Natural history ; Latin America ; Description and travel
39157,"Cuiabá (Mato Grosso, Brazil) ; Description and travel ; South America ; Natural history ; Brazil"
39249,South America ; Science ; Plant morphology ; Politics and government ; Physical geography
39714,Central America ; Fishes ; North America
39716,Central America ; Fishes ; North America
39717,Fishes ; North America ; Central America
39720,Central America ; Fishes ; North America
39988,Periodicals ; Oceanography ; South America ; Zoology
40042,Physical geography ; Science ; South America ; Description and travel ; Plant morphology
41380,Plants ; Tropical plants ; South America
41526,Deep-sea animals ; Sea urchins ; Echinodermata ; Pacific coast ; Central America ; Panama ; Albatross (Steamer)
43182,South America ; Gymnotidae ; Fishes ; Eels
43279,Snakes ; South America ; Catalogs
43388,Indians of South America ; Early accounts to 1600 ; Indians of Mexico ; America ; Peru ; Discovery and exploration ; Latin America ; Natural history
43770,Atlantic Ocean ; Mollusks ; Scientific Expeditions ; Bivalves ; South America ; Zoology
43910,Natural history ; Description and travel ; Scientific Expeditions ; South America
43951,Catfishes ; Tricomycteridae ; South America
45490,Unionidae ; Fresh-water mussels ; South America
45601,Physical geography ; South America ; Plant morphology ; Description and travel
46248,Brazil ; Amazon River Valley ; Indians of South America ; Natural history
46434,United States ; Québec (Province) ; Description and travel ; Brazil ; Zoology ; South America
46527,"Paleontology ; Coral reefs and islands ; Cuba ; Central America ; Corals, Fossil ; Puerto Rico"
46579,Fishes ; Characidae ; South America
46653,Squamata ; Latin America ; Reptiles
47078,Natural history ; Indians of South America ; Description and travel ; South America
47139,"1782-1865 ; Waterton, Charles, ; South America ; Zoology ; United States ; Description and travel ; Québec (Province) ; Brazil"
47149,Fishes ; South America
48501,Indians of South America ; America ; Craniology
